Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1019649754",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1019649754",s,start_time,"1019649754",,start_position_lat,"634981626",semicircles,start_position_long,"79471306",semicircles,end_position_lat,"634956160",semicircles,end_position_long,"79430497",semicircles,total_elapsed_time,"4246.0",s,total_timer_time,"4246.0",s,total_distance,"10078.69",m,avg_speed,"2.373",m/s,max_speed,"17.5",m/s,enhanced_avg_speed,"2.373",m/s,enhanced_max_speed,"17.5",m/s,
Data,3,event,timestamp,"1019649754",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649754",s,position_lat,"634981626",semicircles,position_long,"79471306",semicircles,distance,"0.0",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649755",s,position_lat,"634981674",semicircles,position_long,"79471276",semicircles,distance,"0.47",m,speed,"0.478",m/s,enhanced_speed,"0.478",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649756",s,position_lat,"634981750",semicircles,position_long,"79471206",semicircles,distance,"1.28",m,speed,"0.809",m/s,enhanced_speed,"0.809",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649757",s,position_lat,"634981849",semicircles,position_long,"79471119",semicircles,distance,"2.33",m,speed,"1.043",m/s,enhanced_speed,"1.043",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649758",s,position_lat,"634981976",semicircles,position_long,"79471027",semicircles,distance,"3.62",m,speed,"1.291",m/s,enhanced_speed,"1.291",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649759",s,position_lat,"634982188",semicircles,position_long,"79470940",semicircles,distance,"5.66",m,speed,"2.15",m/s,enhanced_speed,"2.15",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649760",s,position_lat,"634982410",semicircles,position_long,"79470911",semicircles,distance,"7.73",m,speed,"2.519",m/s,enhanced_speed,"2.519",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649761",s,position_lat,"634982658",semicircles,position_long,"79470891",semicircles,distance,"10.05",m,speed,"2.75",m/s,enhanced_speed,"2.75",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649762",s,position_lat,"634983093",semicircles,position_long,"79470888",semicircles,distance,"14.11",m,speed,"3.081",m/s,enhanced_speed,"3.081",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649763",s,position_lat,"634983287",semicircles,position_long,"79470906",semicircles,distance,"15.92",m,speed,"2.78",m/s,enhanced_speed,"2.78",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649764",s,position_lat,"634983726",semicircles,position_long,"79470940",semicircles,distance,"20.02",m,speed,"3.332",m/s,enhanced_speed,"3.332",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649765",s,position_lat,"634983938",semicircles,position_long,"79470960",semicircles,distance,"22.0",m,speed,"2.996",m/s,enhanced_speed,"2.996",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649766",s,position_lat,"634984439",semicircles,position_long,"79471035",semicircles,distance,"26.7",m,speed,"3.667",m/s,enhanced_speed,"3.667",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649767",s,position_lat,"634984854",semicircles,position_long,"79471108",semicircles,distance,"30.59",m,speed,"3.888",m/s,enhanced_speed,"3.888",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019649768",s,position_lat,"634985246",semicircles,position_long,"79471175",semicircles,distance,"34.27",m,speed,"3.552",m/s,enhanced_speed,"3.552",m/s,,,,,,,,,,,,,,,,,,,,,,
