Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1019730878",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1019730878",s,start_time,"1019730878",,start_position_lat,"635019737",semicircles,start_position_long,"79402375",semicircles,end_position_lat,"634956043",semicircles,end_position_long,"79429490",semicircles,total_elapsed_time,"7841.0",s,total_timer_time,"7841.0",s,total_distance,"21713.95",m,avg_speed,"2.769",m/s,max_speed,"15.663",m/s,enhanced_avg_speed,"2.769",m/s,enhanced_max_speed,"15.663",m/s,
Data,3,event,timestamp,"1019730878",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730878",s,position_lat,"635019737",semicircles,position_long,"79402375",semicircles,distance,"0.0",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730879",s,position_lat,"635019866",semicircles,position_long,"79402184",semicircles,distance,"1.6",m,speed,"1.608",m/s,enhanced_speed,"1.608",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730880",s,position_lat,"635020013",semicircles,position_long,"79401970",semicircles,distance,"3.42",m,speed,"1.819",m/s,enhanced_speed,"1.819",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730881",s,position_lat,"635020179",semicircles,position_long,"79401749",semicircles,distance,"5.4",m,speed,"1.98",m/s,enhanced_speed,"1.98",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730882",s,position_lat,"635020356",semicircles,position_long,"79401533",semicircles,distance,"7.45",m,speed,"2.282",m/s,enhanced_speed,"2.282",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730883",s,position_lat,"635020535",semicircles,position_long,"79401305",semicircles,distance,"9.55",m,speed,"2.186",m/s,enhanced_speed,"2.186",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730884",s,position_lat,"635020719",semicircles,position_long,"79401040",semicircles,distance,"11.82",m,speed,"2.605",m/s,enhanced_speed,"2.605",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730885",s,position_lat,"635020897",semicircles,position_long,"79400711",semicircles,distance,"14.29",m,speed,"2.713",m/s,enhanced_speed,"2.713",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730886",s,position_lat,"635021166",semicircles,position_long,"79400048",semicircles,distance,"18.77",m,speed,"3.332",m/s,enhanced_speed,"3.332",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730887",s,position_lat,"635021304",semicircles,position_long,"79399500",semicircles,distance,"22.09",m,speed,"3.358",m/s,enhanced_speed,"3.358",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730888",s,position_lat,"635021371",semicircles,position_long,"79399010",semicircles,distance,"24.9",m,speed,"3.233",m/s,enhanced_speed,"3.233",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730889",s,position_lat,"635021375",semicircles,position_long,"79398851",semicircles,distance,"25.78",m,speed,"1.582",m/s,enhanced_speed,"1.582",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730890",s,position_lat,"635021353",semicircles,position_long,"79398658",semicircles,distance,"26.88",m,speed,"1.819",m/s,enhanced_speed,"1.819",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730891",s,position_lat,"635021309",semicircles,position_long,"79398503",semicircles,distance,"27.84",m,speed,"0.097",m/s,enhanced_speed,"0.097",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019730892",s,position_lat,"635021252",semicircles,position_long,"79398398",semicircles,distance,"28.63",m,speed,"0.075",m/s,enhanced_speed,"0.075",m/s,,,,,,,,,,,,,,,,,,,,,,
