Data,8,record,timestamp,"952660605",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660606",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660607",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660608",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660609",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660610",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660611",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660612",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660613",s,distance,"0.0",m,altitude,"748.4000000000001",m,temperature,"29",C,enhanced_altitude,"748.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660614",s,distance,"0.0",m,altitude,"748.4000000000001",m,temperature,"29",C,enhanced_altitude,"748.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660615",s,distance,"0.0",m,altitude,"748.5999999999999",m,temperature,"29",C,enhanced_altitude,"748.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660616",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660617",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660618",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660619",s,distance,"0.0",m,altitude,"749.0",m,temperature,"29",C,enhanced_altitude,"749.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660620",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660621",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660622",s,distance,"0.0",m,altitude,"748.5999999999999",m,temperature,"29",C,enhanced_altitude,"748.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660623",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660624",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660625",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660626",s,distance,"0.0",m,altitude,"748.8",m,temperature,"29",C,enhanced_altitude,"748.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660627",s,distance,"0.0",m,altitude,"748.5999999999999",m,temperature,"29",C,enhanced_altitude,"748.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660628",s,distance,"0.0",m,altitude,"748.5999999999999",m,temperature,"29",C,enhanced_altitude,"748.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660629",s,distance,"0.0",m,altitude,"748.5999999999999",m,temperature,"29",C,enhanced_altitude,"748.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660630",s,distance,"0.0",m,altitude,"748.4000000000001",m,temperature,"29",C,enhanced_altitude,"748.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660631",s,distance,"0.0",m,altitude,"748.4000000000001",m,temperature,"29",C,enhanced_altitude,"748.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660632",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660633",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660634",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660635",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660636",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660637",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660638",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660639",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660640",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660641",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660642",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660643",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660644",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660645",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660646",s,distance,"0.0",m,altitude,"748.2",m,temperature,"29",C,enhanced_altitude,"748.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660647",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660648",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660649",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660650",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660651",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660652",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660653",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660654",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660655",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660656",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660657",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660658",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660659",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660660",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660661",s,distance,"0.0",m,altitude,"748.0",m,temperature,"29",C,enhanced_altitude,"748.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660662",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660663",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660664",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660665",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660666",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660667",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660668",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660669",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660670",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660671",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660672",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660673",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660674",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660675",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660676",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660677",s,distance,"0.0",m,altitude,"747.8",m,temperature,"29",C,enhanced_altitude,"747.8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660678",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660679",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660680",s,distance,"0.0",m,altitude,"747.2",m,temperature,"29",C,enhanced_altitude,"747.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660681",s,distance,"0.0",m,altitude,"747.0",m,temperature,"29",C,enhanced_altitude,"747.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660682",s,distance,"0.0",m,altitude,"747.0",m,temperature,"29",C,enhanced_altitude,"747.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660683",s,distance,"0.0",m,altitude,"747.0",m,temperature,"29",C,enhanced_altitude,"747.0",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660684",s,distance,"0.0",m,altitude,"747.2",m,temperature,"29",C,enhanced_altitude,"747.2",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660685",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660686",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660687",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660688",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660689",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660690",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660691",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660692",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660693",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660694",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660695",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660696",s,distance,"0.0",m,altitude,"747.5999999999999",m,temperature,"29",C,enhanced_altitude,"747.5999999999999",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660697",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660698",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660699",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,record,timestamp,"952660700",s,distance,"0.0",m,altitude,"747.4000000000001",m,temperature,"29",C,enhanced_altitude,"747.4000000000001",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
