Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1019559225",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1019559225",s,start_time,"1019559225",,start_position_lat,"634651521",semicircles,start_position_long,"83847556",semicircles,end_position_lat,"634657299",semicircles,end_position_long,"83846695",semicircles,total_elapsed_time,"10096.0",s,total_timer_time,"10096.0",s,total_distance,"25601.35",m,avg_speed,"2.535",m/s,max_speed,"16.327",m/s,enhanced_avg_speed,"2.535",m/s,enhanced_max_speed,"16.327",m/s,
Data,3,event,timestamp,"1019559225",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559225",s,position_lat,"634651521",semicircles,position_long,"83847556",semicircles,distance,"0.0",m,speed,"0.0",m/s,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559226",s,position_lat,"634651503",semicircles,position_long,"83847515",semicircles,distance,"0.28",m,speed,"0.284",m/s,enhanced_speed,"0.284",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559227",s,position_lat,"634651477",semicircles,position_long,"83847472",semicircles,distance,"0.62",m,speed,"0.341",m/s,enhanced_speed,"0.341",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559228",s,position_lat,"634651446",semicircles,position_long,"83847399",semicircles,distance,"1.12",m,speed,"0.5",m/s,enhanced_speed,"0.5",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559229",s,position_lat,"634651413",semicircles,position_long,"83847306",semicircles,distance,"1.73",m,speed,"0.604",m/s,enhanced_speed,"0.604",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559230",s,position_lat,"634651378",semicircles,position_long,"83847181",semicircles,distance,"2.5",m,speed,"0.888",m/s,enhanced_speed,"0.888",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559231",s,position_lat,"634651329",semicircles,position_long,"83847055",semicircles,distance,"3.34",m,speed,"1.1",m/s,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559232",s,position_lat,"634651276",semicircles,position_long,"83846921",semicircles,distance,"4.23",m,speed,"0.919",m/s,enhanced_speed,"0.919",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559233",s,position_lat,"634651212",semicircles,position_long,"83846779",semicircles,distance,"5.23",m,speed,"0.949",m/s,enhanced_speed,"0.949",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559234",s,position_lat,"634651146",semicircles,position_long,"83846631",semicircles,distance,"6.26",m,speed,"1.052",m/s,enhanced_speed,"1.052",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559235",s,position_lat,"634651096",semicircles,position_long,"83846476",semicircles,distance,"7.24",m,speed,"1.069",m/s,enhanced_speed,"1.069",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559236",s,position_lat,"634651051",semicircles,position_long,"83846320",semicircles,distance,"8.21",m,speed,"0.913",m/s,enhanced_speed,"0.913",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559237",s,position_lat,"634651020",semicircles,position_long,"83846144",semicircles,distance,"9.24",m,speed,"0.828",m/s,enhanced_speed,"0.828",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559238",s,position_lat,"634650996",semicircles,position_long,"83845956",semicircles,distance,"10.31",m,speed,"1.075",m/s,enhanced_speed,"1.075",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019559239",s,position_lat,"634650983",semicircles,position_long,"83845747",semicircles,distance,"11.48",m,speed,"1.077",m/s,enhanced_speed,"1.077",m/s,,,,,,,,,,,,,,,,,,,,,,
