Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"996509912",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,record,timestamp,1,,altitude,1,,speed,1,,vertical_speed,1,,,,,,,,,,,
Definition,5,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,6,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,2,record,timestamp,"996507271",s,distance,"41.0",m,altitude,"8.0",m,speed,"0.37",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"0.37",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507277",s,position_lat,"640260932",semicircles,position_long,"-12123243",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507281",s,distance,"51.0",m,altitude,"8.0",m,speed,"0.39",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"0.39",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507291",s,distance,"51.0",m,altitude,"8.0",m,speed,"0.39",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"0.39",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507301",s,distance,"51.0",m,altitude,"8.0",m,speed,"0.39",m/s,vertical_speed,"-0.03",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"0.39",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507303",s,position_lat,"640259924",semicircles,position_long,"-12122539",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507311",s,distance,"61.0",m,altitude,"8.0",m,speed,"0.39",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"0.39",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507321",s,distance,"61.0",m,altitude,"6.0",m,speed,"0.41",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.41",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507327",s,position_lat,"640258827",semicircles,position_long,"-12122074",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507331",s,distance,"72.0",m,altitude,"6.0",m,speed,"0.42",m/s,vertical_speed,"-0.06",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.42",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507335",s,position_lat,"640257657",semicircles,position_long,"-12120952",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507339",s,position_lat,"640256655",semicircles,position_long,"-12120201",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507341",s,distance,"94.0",m,altitude,"7.0",m,speed,"2.34",m/s,vertical_speed,"-0.03",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.34",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507342",s,position_lat,"640255522",semicircles,position_long,"-12119246",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507346",s,position_lat,"640254400",semicircles,position_long,"-12118352",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507349",s,position_lat,"640253267",semicircles,position_long,"-12117505",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507351",s,distance,"129.0",m,altitude,"8.0",m,speed,"3.19",m/s,vertical_speed,"0.03",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"3.19",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507352",s,position_lat,"640252002",semicircles,position_long,"-12116419",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
