Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"1004259477",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,5,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,1,record,timestamp,"1004253499",s,position_lat,"640260721",semicircles,position_long,"-12109634",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253500",s,distance,"137.0",m,altitude,"7.0",m,speed,"2.28",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.28",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253506",s,position_lat,"640260077",semicircles,position_long,"-12108190",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253510",s,distance,"147.0",m,altitude,"7.0",m,speed,"1.67",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"1.67",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253512",s,position_lat,"640259469",semicircles,position_long,"-12106699",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253518",s,position_lat,"640258765",semicircles,position_long,"-12105220",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253520",s,distance,"167.0",m,altitude,"7.0",m,speed,"1.69",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"1.69",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253523",s,position_lat,"640258240",semicircles,position_long,"-12103323",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253526",s,position_lat,"640257822",semicircles,position_long,"-12101581",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253528",s,position_lat,"640257476",semicircles,position_long,"-12099815",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1004253530",s,position_lat,"640256975",semicircles,position_long,"-12097739",semicircles,distance,"212.0",m,altitude,"7.0",m,speed,"2.71",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"7.0",m,enhanced_speed,"2.71",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253532",s,position_lat,"640256414",semicircles,position_long,"-12095508",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253534",s,position_lat,"640255830",semicircles,position_long,"-12093182",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253536",s,position_lat,"640255174",semicircles,position_long,"-12090987",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253539",s,position_lat,"640254335",semicircles,position_long,"-12088797",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
