Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1019467125",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1019467125",s,start_time,"1019467125",,start_position_lat,"627771549",semicircles,start_position_long,"-34599004",semicircles,end_position_lat,"627767372",semicircles,end_position_long,"-34597725",semicircles,total_elapsed_time,"7247.0",s,total_timer_time,"7247.0",s,total_distance,"16003.33",m,avg_speed,"2.208",m/s,max_speed,"9.265",m/s,enhanced_avg_speed,"2.208",m/s,enhanced_max_speed,"9.265",m/s,
Data,3,event,timestamp,"1019467125",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467125",s,position_lat,"627771549",semicircles,position_long,"-34599004",semicircles,distance,"0.0",m,altitude,"235.60000000000002",m,speed,"1.577",m/s,enhanced_altitude,"235.60000000000002",m,enhanced_speed,"1.577",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467126",s,position_lat,"627771747",semicircles,position_long,"-34599236",semicircles,distance,"2.26",m,altitude,"235.60000000000002",m,speed,"1.669",m/s,enhanced_altitude,"235.60000000000002",m,enhanced_speed,"1.669",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467127",s,position_lat,"627771999",semicircles,position_long,"-34599303",semicircles,distance,"4.64",m,altitude,"235.60000000000002",m,speed,"1.912",m/s,enhanced_altitude,"235.60000000000002",m,enhanced_speed,"1.912",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467128",s,position_lat,"627772231",semicircles,position_long,"-34599578",semicircles,distance,"7.31",m,altitude,"235.79999999999995",m,speed,"1.922",m/s,enhanced_altitude,"235.79999999999995",m,enhanced_speed,"1.922",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467129",s,position_lat,"627772447",semicircles,position_long,"-34599837",semicircles,distance,"9.8",m,altitude,"236.0",m,speed,"1.94",m/s,enhanced_altitude,"236.0",m,enhanced_speed,"1.94",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467130",s,position_lat,"627772669",semicircles,position_long,"-34599958",semicircles,distance,"11.99",m,altitude,"236.0",m,speed,"2.081",m/s,enhanced_altitude,"236.0",m,enhanced_speed,"2.081",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467131",s,position_lat,"627772874",semicircles,position_long,"-34600194",semicircles,distance,"14.32",m,altitude,"236.20000000000005",m,speed,"2.081",m/s,enhanced_altitude,"236.20000000000005",m,enhanced_speed,"2.081",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467132",s,position_lat,"627773062",semicircles,position_long,"-34600437",semicircles,distance,"16.55",m,altitude,"236.39999999999998",m,speed,"1.94",m/s,enhanced_altitude,"236.39999999999998",m,enhanced_speed,"1.94",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467133",s,position_lat,"627773216",semicircles,position_long,"-34600746",semicircles,distance,"18.81",m,altitude,"236.39999999999998",m,speed,"1.922",m/s,enhanced_altitude,"236.39999999999998",m,enhanced_speed,"1.922",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467134",s,position_lat,"627773451",semicircles,position_long,"-34601023",semicircles,distance,"21.51",m,altitude,"236.60000000000002",m,speed,"1.241",m/s,enhanced_altitude,"236.60000000000002",m,enhanced_speed,"1.241",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019467135",s,position_lat,"627773630",semicircles,position_long,"-34601236",semicircles,distance,"23.57",m,altitude,"237.0",m,speed,"1.148",m/s,enhanced_altitude,"237.0",m,enhanced_speed,"1.148",m/s,,,,,,,,,,,,,,,,
