Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1013078793",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1013078793",s,start_time,"1013078793",,start_position_lat,"636743550",semicircles,start_position_long,"-38060506",semicircles,end_position_lat,"636745407",semicircles,end_position_long,"-38054686",semicircles,total_elapsed_time,"8534.0",s,total_timer_time,"8534.0",s,total_distance,"13671.48",m,avg_speed,"1.602",m/s,max_speed,"23.093",m/s,enhanced_avg_speed,"1.602",m/s,enhanced_max_speed,"23.093",m/s,
Data,3,event,timestamp,"1013078793",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078793",s,position_lat,"636743550",semicircles,position_long,"-38060506",semicircles,distance,"0.0",m,altitude,"-22.600000000000023",m,speed,"1.287",m/s,enhanced_altitude,"-22.600000000000023",m,enhanced_speed,"1.287",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078794",s,position_lat,"636743550",semicircles,position_long,"-38060506",semicircles,distance,"0.0",m,altitude,"-22.0",m,speed,"1.287",m/s,enhanced_altitude,"-22.0",m,enhanced_speed,"1.287",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078795",s,position_lat,"636743652",semicircles,position_long,"-38061461",semicircles,distance,"5.4",m,altitude,"-22.0",m,speed,"1.203",m/s,enhanced_altitude,"-22.0",m,enhanced_speed,"1.203",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078796",s,position_lat,"636743515",semicircles,position_long,"-38061479",semicircles,distance,"6.68",m,altitude,"-22.0",m,speed,"1.203",m/s,enhanced_altitude,"-22.0",m,enhanced_speed,"1.203",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078797",s,position_lat,"636743348",semicircles,position_long,"-38061700",semicircles,distance,"8.66",m,altitude,"-22.0",m,speed,"1.231",m/s,enhanced_altitude,"-22.0",m,enhanced_speed,"1.231",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078798",s,position_lat,"636743195",semicircles,position_long,"-38061813",semicircles,distance,"10.22",m,altitude,"-21.600000000000023",m,speed,"1.231",m/s,enhanced_altitude,"-21.600000000000023",m,enhanced_speed,"1.231",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078799",s,position_lat,"636743073",semicircles,position_long,"-38061953",semicircles,distance,"11.6",m,altitude,"-21.600000000000023",m,speed,"1.287",m/s,enhanced_altitude,"-21.600000000000023",m,enhanced_speed,"1.287",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078800",s,position_lat,"636742961",semicircles,position_long,"-38062079",semicircles,distance,"12.86",m,altitude,"-21.399999999999977",m,speed,"1.269",m/s,enhanced_altitude,"-21.399999999999977",m,enhanced_speed,"1.269",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078801",s,position_lat,"636742822",semicircles,position_long,"-38062208",semicircles,distance,"14.34",m,altitude,"-21.600000000000023",m,speed,"1.287",m/s,enhanced_altitude,"-21.600000000000023",m,enhanced_speed,"1.287",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078802",s,position_lat,"636742676",semicircles,position_long,"-38062332",semicircles,distance,"15.87",m,altitude,"-21.600000000000023",m,speed,"1.287",m/s,enhanced_altitude,"-21.600000000000023",m,enhanced_speed,"1.287",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1013078803",s,position_lat,"636742567",semicircles,position_long,"-38062423",semicircles,distance,"17.01",m,altitude,"-21.600000000000023",m,speed,"1.297",m/s,enhanced_altitude,"-21.600000000000023",m,enhanced_speed,"1.297",m/s,,,,,,,,,,,,,,,,
