Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1019722373",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1019722373",s,start_time,"1019722373",,start_position_lat,"569753639",semicircles,start_position_long,"199739632",semicircles,end_position_lat,"569750281",semicircles,end_position_long,"199743803",semicircles,total_elapsed_time,"17437.0",s,total_timer_time,"17437.0",s,total_distance,"80781.74",m,avg_speed,"4.632",m/s,max_speed,"18.652",m/s,enhanced_avg_speed,"4.632",m/s,enhanced_max_speed,"18.652",m/s,
Data,3,event,timestamp,"1019722373",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722373",s,position_lat,"569753639",semicircles,position_long,"199739632",semicircles,distance,"0.0",m,altitude,"96.79999999999995",m,speed,"0.0",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722374",s,position_lat,"569753645",semicircles,position_long,"199739633",semicircles,distance,"0.0",m,altitude,"96.79999999999995",m,speed,"0.0",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722375",s,position_lat,"569753657",semicircles,position_long,"199739598",semicircles,distance,"0.24",m,altitude,"96.79999999999995",m,speed,"0.246",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.246",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722376",s,position_lat,"569753655",semicircles,position_long,"199739606",semicircles,distance,"0.24",m,altitude,"96.79999999999995",m,speed,"0.0",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722377",s,position_lat,"569753662",semicircles,position_long,"199739607",semicircles,distance,"0.24",m,altitude,"96.79999999999995",m,speed,"0.0",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722378",s,position_lat,"569753651",semicircles,position_long,"199739642",semicircles,distance,"0.48",m,altitude,"96.79999999999995",m,speed,"0.242",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.242",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722379",s,position_lat,"569753650",semicircles,position_long,"199739648",semicircles,distance,"0.48",m,altitude,"96.79999999999995",m,speed,"0.0",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722380",s,position_lat,"569753656",semicircles,position_long,"199739620",semicircles,distance,"0.67",m,altitude,"96.79999999999995",m,speed,"0.184",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.184",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722381",s,position_lat,"569753633",semicircles,position_long,"199739576",semicircles,distance,"1.02",m,altitude,"96.79999999999995",m,speed,"0.349",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.349",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722382",s,position_lat,"569753638",semicircles,position_long,"199739516",semicircles,distance,"1.4",m,altitude,"96.79999999999995",m,speed,"0.379",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.379",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1019722383",s,position_lat,"569753669",semicircles,position_long,"199739422",semicircles,distance,"2.05",m,altitude,"96.79999999999995",m,speed,"0.656",m/s,enhanced_altitude,"96.79999999999995",m,enhanced_speed,"0.656",m/s,,,,,,,,,,,,,,,,
