Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1017241652",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1017241652",s,start_time,"1017241652",,start_position_lat,"598378132",semicircles,start_position_long,"-59957210",semicircles,end_position_lat,"598378268",semicircles,end_position_long,"-59954250",semicircles,total_elapsed_time,"3451.0",s,total_timer_time,"3451.0",s,total_distance,"26566.55",m,avg_speed,"7.698",m/s,max_speed,"22.87",m/s,enhanced_avg_speed,"7.698",m/s,enhanced_max_speed,"22.87",m/s,
Data,3,event,timestamp,"1017241652",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241652",s,position_lat,"598378132",semicircles,position_long,"-59957210",semicircles,distance,"0.0",m,altitude,"266.4",m,speed,"0.634",m/s,enhanced_altitude,"266.4",m,enhanced_speed,"0.634",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241653",s,position_lat,"598378132",semicircles,position_long,"-59957210",semicircles,distance,"0.0",m,altitude,"266.6",m,speed,"0.634",m/s,enhanced_altitude,"266.6",m,enhanced_speed,"0.634",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241654",s,position_lat,"598377934",semicircles,position_long,"-59957121",semicircles,distance,"1.92",m,altitude,"266.6",m,speed,"0.717",m/s,enhanced_altitude,"266.6",m,enhanced_speed,"0.717",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241655",s,position_lat,"598377856",semicircles,position_long,"-59957313",semicircles,distance,"3.28",m,altitude,"266.6",m,speed,"0.848",m/s,enhanced_altitude,"266.6",m,enhanced_speed,"0.848",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241656",s,position_lat,"598377762",semicircles,position_long,"-59957411",semicircles,distance,"4.33",m,altitude,"266.6",m,speed,"0.924",m/s,enhanced_altitude,"266.6",m,enhanced_speed,"0.924",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241657",s,position_lat,"598377593",semicircles,position_long,"-59957620",semicircles,distance,"6.34",m,altitude,"266.6",m,speed,"1.008",m/s,enhanced_altitude,"266.6",m,enhanced_speed,"1.008",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241658",s,position_lat,"598377472",semicircles,position_long,"-59957719",semicircles,distance,"7.62",m,altitude,"266.4",m,speed,"1.072",m/s,enhanced_altitude,"266.4",m,enhanced_speed,"1.072",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241659",s,position_lat,"598377335",semicircles,position_long,"-59957816",semicircles,distance,"9.02",m,altitude,"266.4",m,speed,"1.008",m/s,enhanced_altitude,"266.4",m,enhanced_speed,"1.008",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241660",s,position_lat,"598377184",semicircles,position_long,"-59957926",semicircles,distance,"10.58",m,altitude,"266.20000000000005",m,speed,"1.036",m/s,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.036",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241661",s,position_lat,"598377086",semicircles,position_long,"-59957997",semicircles,distance,"11.58",m,altitude,"266.20000000000005",m,speed,"1.11",m/s,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.11",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241662",s,position_lat,"598376970",semicircles,position_long,"-59958102",semicircles,distance,"12.84",m,altitude,"266.20000000000005",m,speed,"1.1",m/s,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.1",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1017241663",s,position_lat,"598376862",semicircles,position_long,"-59958201",semicircles,distance,"14.0",m,altitude,"266.0",m,speed,"1.128",m/s,enhanced_altitude,"266.0",m,enhanced_speed,"1.128",m/s,,,,,,,,,,,,,,,,
