Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,Field 44,Value 44,Units 44,Field 45,Value 45,Units 45,Field 46,Value 46,Units 46,Field 47,Value 47,Units 47,Field 48,Value 48,Units 48,Field 49,Value 49,Units 49,Field 50,Value 50,Units 50,Field 51,Value 51,Units 51,Field 52,Value 52,Units 52,Field 53,Value 53,Units 53,Field 54,Value 54,Units 54,Field 55,Value 55,Units 55,Field 56,Value 56,Units 56,Field 57,Value 57,Units 57,Field 58,Value 58,Units 58,Field 59,Value 59,Units 59,Field 60,Value 60,Units 60,Field 61,Value 61,Units 61,Field 62,Value 62,Units 62,Field 63,Value 63,Units 63,Field 64,Value 64,Units 64,Field 65,Value 65,Units 65,Field 66,Value 66,Units 66,Field 67,Value 67,Units 67,Field 68,Value 68,Units 68,Field 69,Value 69,Units 69,Field 70,Value 70,Units 70,Field 71,Value 71,Units 71,Field 72,Value 72,Units 72,Field 73,Value 73,Units 73,Field 74,Value 74,Units 74,Field 75,Value 75,Units 75,Field 76,Value 76,Units 76,Field 77,Value 77,Units 77,Field 78,Value 78,Units 78,Field 79,Value 79,Units 79,Field 80,Value 80,Units 80,Field 81,Value 81,Units 81,Field 82,Value 82,Units 82,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3917908387",,time_created,"1017241593",,manufacturer,"1",,garmin_product,"2050",,type,"4",,,,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,
Definition,9,field_description,field_name,64,,units,16,,fit_base_unit_id,1,,native_mesg_num,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,scale,1,,offset,1,,native_field_num,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,field_description,field_name,"CurrentAltitude",,units,"meters",,native_mesg_num,"20",,developer_data_index,"0",,field_definition_number,"0",,fit_base_type_id,"136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,10,record,timestamp,1,,distance,1,,altitude,1,,temperature,1,,CurrentAltitude,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241593",s,distance,"0.0",m,altitude,"267.20000000000005",m,temperature,"30",C,enhanced_altitude,"267.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"1017241594",,unknown,"1",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241594",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241595",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241596",s,distance,"0.0",m,altitude,"266.20000000000005",m,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241597",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241598",s,distance,"0.0",m,altitude,"265.6",m,temperature,"30",C,enhanced_altitude,"265.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241599",s,distance,"0.0",m,altitude,"265.6",m,temperature,"30",C,enhanced_altitude,"265.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241600",s,distance,"0.0",m,altitude,"265.4",m,temperature,"30",C,enhanced_altitude,"265.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241601",s,distance,"0.0",m,altitude,"265.6",m,temperature,"30",C,enhanced_altitude,"265.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241602",s,distance,"0.0",m,altitude,"265.6",m,temperature,"30",C,enhanced_altitude,"265.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241603",s,distance,"0.0",m,altitude,"265.4",m,temperature,"30",C,enhanced_altitude,"265.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241604",s,distance,"0.0",m,altitude,"265.4",m,temperature,"30",C,enhanced_altitude,"265.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241605",s,distance,"0.0",m,altitude,"265.20000000000005",m,temperature,"30",C,enhanced_altitude,"265.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241606",s,distance,"0.0",m,altitude,"265.20000000000005",m,temperature,"30",C,enhanced_altitude,"265.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241607",s,distance,"0.0",m,altitude,"265.20000000000005",m,temperature,"30",C,enhanced_altitude,"265.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241608",s,distance,"0.0",m,altitude,"265.20000000000005",m,temperature,"30",C,enhanced_altitude,"265.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241609",s,distance,"0.0",m,altitude,"265.20000000000005",m,temperature,"30",C,enhanced_altitude,"265.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241610",s,distance,"0.0",m,altitude,"265.4",m,temperature,"30",C,enhanced_altitude,"265.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241611",s,distance,"0.0",m,altitude,"265.6",m,temperature,"30",C,enhanced_altitude,"265.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241612",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241613",s,distance,"0.0",m,altitude,"266.20000000000005",m,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241614",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241615",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241616",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241617",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241618",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241619",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241620",s,distance,"0.0",m,altitude,"265.79999999999995",m,temperature,"30",C,enhanced_altitude,"265.79999999999995",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241621",s,distance,"0.0",m,altitude,"266.0",m,temperature,"30",C,enhanced_altitude,"266.0",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241622",s,distance,"0.0",m,altitude,"266.20000000000005",m,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241623",s,distance,"0.0",m,altitude,"266.20000000000005",m,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241624",s,distance,"0.0",m,altitude,"266.20000000000005",m,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241625",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241626",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241627",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241628",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241629",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241630",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241631",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241632",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241633",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241634",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241635",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241636",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241637",s,distance,"0.0",m,altitude,"266.79999999999995",m,temperature,"30",C,enhanced_altitude,"266.79999999999995",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241638",s,distance,"0.0",m,altitude,"266.79999999999995",m,temperature,"30",C,enhanced_altitude,"266.79999999999995",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241639",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241640",s,distance,"0.0",m,altitude,"266.79999999999995",m,temperature,"30",C,enhanced_altitude,"266.79999999999995",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241641",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241642",s,distance,"0.0",m,altitude,"266.6",m,temperature,"30",C,enhanced_altitude,"266.6",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241643",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,record,timestamp,"1017241644",s,distance,"0.0",m,altitude,"266.4",m,temperature,"30",C,enhanced_altitude,"266.4",m,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,"1017241652",s,manufacturer,"1",,garmin_product,"1620",,software_version,"3.3",,device_index,"2",,device_type,"0",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"1017241652",,unknown,"2",,unknown,"2",,unknown,"1",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,11,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,temperature,1,,CurrentAltitude,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241652",s,position_lat,"598378132",semicircles,position_long,"-59957210",semicircles,distance,"0.0",m,altitude,"266.4",m,speed,"0.634",m/s,temperature,"30",C,enhanced_altitude,"266.4",m,enhanced_speed,"0.634",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241653",s,position_lat,"598378132",semicircles,position_long,"-59957210",semicircles,distance,"0.0",m,altitude,"266.6",m,speed,"0.634",m/s,temperature,"30",C,enhanced_altitude,"266.6",m,enhanced_speed,"0.634",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241654",s,position_lat,"598377934",semicircles,position_long,"-59957121",semicircles,distance,"1.06",m,altitude,"266.6",m,speed,"0.718",m/s,temperature,"30",C,enhanced_altitude,"266.6",m,enhanced_speed,"0.718",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241655",s,position_lat,"598377856",semicircles,position_long,"-59957313",semicircles,distance,"2.32",m,altitude,"266.6",m,speed,"0.849",m/s,temperature,"30",C,enhanced_altitude,"266.6",m,enhanced_speed,"0.849",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241656",s,position_lat,"598377762",semicircles,position_long,"-59957411",semicircles,distance,"3.38",m,altitude,"266.6",m,speed,"0.924",m/s,temperature,"30",C,enhanced_altitude,"266.6",m,enhanced_speed,"0.924",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241657",s,position_lat,"598377593",semicircles,position_long,"-59957620",semicircles,distance,"5.35",m,altitude,"266.6",m,speed,"1.008",m/s,temperature,"30",C,enhanced_altitude,"266.6",m,enhanced_speed,"1.008",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241658",s,position_lat,"598377472",semicircles,position_long,"-59957719",semicircles,distance,"6.63",m,altitude,"266.4",m,speed,"1.073",m/s,temperature,"30",C,enhanced_altitude,"266.4",m,enhanced_speed,"1.073",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241659",s,position_lat,"598377335",semicircles,position_long,"-59957816",semicircles,distance,"8.02",m,altitude,"266.4",m,speed,"1.008",m/s,temperature,"30",C,enhanced_altitude,"266.4",m,enhanced_speed,"1.008",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241660",s,position_lat,"598377184",semicircles,position_long,"-59957926",semicircles,distance,"9.57",m,altitude,"266.20000000000005",m,speed,"1.036",m/s,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.036",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241661",s,position_lat,"598377086",semicircles,position_long,"-59957997",semicircles,distance,"10.57",m,altitude,"266.20000000000005",m,speed,"1.11",m/s,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.11",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017241662",s,position_lat,"598376970",semicircles,position_long,"-59958102",semicircles,distance,"11.82",m,altitude,"266.20000000000005",m,speed,"1.101",m/s,temperature,"30",C,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"1.101",m/s,CurrentAltitude,"0.0",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
