Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Definition,1,course,name,16,,sport,1,,,,,,,,
Definition,2,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,avg_speed,1,,max_speed,1,,
Definition,3,event,timestamp,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,course_point,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,name,16,,type,1,,,,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,,,,,,,,,,,,,,,,
Data,0,file_id,type,"6",,manufacturer,"1",,garmin_product,"1001",,time_created,"1018181251",,,,,,,,,,,,,,,,,,,,,,,
Data,1,course,sport,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,timestamp,"1018181251",s,start_time,"1018181251",,start_position_lat,"603338179",semicircles,start_position_long,"-29311460",semicircles,end_position_lat,"603338587",semicircles,end_position_long,"-29311473",semicircles,total_elapsed_time,"4632.0",s,total_timer_time,"4632.0",s,total_distance,"28264.05",m,avg_speed,"6.101",m/s,max_speed,"18.923",m/s,enhanced_avg_speed,"6.101",m/s,enhanced_max_speed,"18.923",m/s,
Data,3,event,timestamp,"1018181251",s,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181251",s,position_lat,"603338179",semicircles,position_long,"-29311460",semicircles,distance,"0.0",m,altitude,"8.800000000000011",m,speed,"0.0",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181252",s,position_lat,"603337955",semicircles,position_long,"-29312070",semicircles,distance,"4.17",m,altitude,"8.800000000000011",m,speed,"4.175",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"4.175",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181253",s,position_lat,"603338031",semicircles,position_long,"-29311943",semicircles,distance,"5.2",m,altitude,"8.800000000000011",m,speed,"1.034",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"1.034",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181254",s,position_lat,"603338064",semicircles,position_long,"-29311928",semicircles,distance,"5.53",m,altitude,"8.800000000000011",m,speed,"0.32",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.32",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181255",s,position_lat,"603338081",semicircles,position_long,"-29312004",semicircles,distance,"6.0",m,altitude,"8.800000000000011",m,speed,"0.477",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.477",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181256",s,position_lat,"603338146",semicircles,position_long,"-29311938",semicircles,distance,"6.72",m,altitude,"8.800000000000011",m,speed,"0.721",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.721",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181257",s,position_lat,"603338152",semicircles,position_long,"-29311940",semicircles,distance,"6.72",m,altitude,"8.800000000000011",m,speed,"0.0",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181258",s,position_lat,"603338148",semicircles,position_long,"-29311932",semicircles,distance,"6.72",m,altitude,"8.800000000000011",m,speed,"0.0",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181259",s,position_lat,"603338165",semicircles,position_long,"-29311897",semicircles,distance,"6.99",m,altitude,"8.800000000000011",m,speed,"0.261",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.261",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181260",s,position_lat,"603338163",semicircles,position_long,"-29311893",semicircles,distance,"6.99",m,altitude,"8.800000000000011",m,speed,"0.0",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
Data,5,record,timestamp,"1018181261",s,position_lat,"603338161",semicircles,position_long,"-29311893",semicircles,distance,"6.99",m,altitude,"8.800000000000011",m,speed,"0.0",m/s,enhanced_altitude,"8.800000000000011",m,enhanced_speed,"0.0",m/s,,,,,,,,,,,,,,,,
